72,74,25
89,63,81
59,45,3
38,60,49
88,30,37
47,26,38
39,40,34
60,3,26
29,60,12
26,16,98
28,56,6
71,81,29
90,90,59
13,56,29
63,55,88
57,14,34
34,23,12
41,18,50
22,12,63
28,43,35
28,72,65
43,49,33
10,64,7
41,79,85
2,26,39
54,6,98
96,57,31
4,85,55
65,16,83
55,22,86
1,60,25
91,73,87
99,82,71
58,23,61
26,20,78
4,28,57
46,42,5
69,96,49
78,78,78
50,17,35
20,60,17
100,92,82
95,66,74
54,79,24
36,40,64
13,91,30
66,13,93
47,66,49
28,57,51
34,85,91
50,82,7
46,83,77
41,96,28
46,10,30
91,29,50
72,69,16
16,70,1
30,14,60
58,28,77
61,7,35
59,96,28
95,42,5
56,30,86
84,24,58
22,25,2
95,89,16
5,71,29
75,8,29
91,9,78
53,1,34
33,59,85
21,95,57
55,80,63
63,84,32
53,91,30
12,15,24
27,66,32
21,62,80
21,74,60
98,89,50
87,33,98
80,77,64
63,30,89
75,95,76
4,36,96
17,66,64
86,55,31
46,97,100
28,59,97
36,77,55
85,18,99
79,65,56
33,60,81
3,32,24
30,41,69
34,79,59
29,50,93
33,22,82
66,72,47
76,83,16
74,50,90
